,Products,Base_Product
0,V_Single VAS Bundle,VOICE
1,E_Referral offer Discount,OTHER
2,V_Absentee service,VOICE
3,V_Hotline Service,VOICE
4,V_Caller Line Identification,VOICE
5,V_Call Forwarding Offline,VOICE
6,V_Abbreviated Dialing,VOICE
7,V_Call Transfer Three way,VOICE
8,V_Call Forwarding,VOICE
9,V_Call Waiting,VOICE
10,V_Call Forwarding-Immediate,VOICE
11,V_Outgoing Call Memory,VOICE
12,V_Call Forwarding-On Busy,VOICE
13,V_Call Forwarding-No Answer,VOICE
14,V_Cordeless Phone - Installment,VOICE
15,E_PeoTV Initiation,OTHER
16,V_Selective call acceptance,VOICE
17,V_Hotline-Immediate,VOICE
18,V_Call holding,VOICE
19,V_Hotline-Time Delayed,VOICE
20,V_Call Forwarding by time,VOICE
21,V_Incoming Call Memory,VOICE
22,V_Short Message Service,VOICE
23,M_Activation Charge,OTHER
24,E_Video on Demand,OTHER
25,AB_Megaline,OTHER
26,E_TSTV,OTHER
27,V_Secretary service,VOICE
28,V_Call park,VOICE
29,V_Selective call rejection,VOICE
30,V_Call back on busy,VOICE
31,V_Call Forwarding - Immediate,VOICE
32,V_Anonymous call barring,VOICE
33,V_Call Forwarding - On Busy,VOICE
34,V_Incoming Call Transfer,VOICE
35,V_CLI presentation in call waiting,VOICE
36,V_SLT CLI,VOICE
37,V_Sisu Connect,VOICE
38,AB_Service Vacation,OTHER
39,V_DQ Contact Details,VOICE
40,V_IDD,VOICE
41,AB_Rental Free,OTHER
42,V_SLT Voice Service,VOICE
43,V_Selective call waiting,VOICE
44,V-Plus1_TeleLife,OTHER
45,E_SLT PeoTV Service,OTHER
46,V_Do not disturb service,VOICE
47,V_Complete call on no response,VOICE
48,V_Call forwarding selective,VOICE
49,AB_Megaline Startup,OTHER
50,V_Password call barring (secret code),VOICE
51,AB_Relocation,OTHER
52,V_Detailed Bill,VOICE
53,V_Triple VAS Bundle,VOICE
54,V_Caller name identificationPresentation,VOICE
55,V_Caller name sending,VOICE
56,V_Installment,VOICE
57,V_Call Barring - Outgoing,VOICE
58,V_Call Barring,VOICE
59,P_IDD,OTHER
60,P_Additional features -Double VAS Bundle,OTHER
61,P_SLT CLI,OTHER
62,P_Megaline,OTHER
63,DQ_Contact Details,OTHER
64,P_Megaline New Connection,OTHER
65,V_Call Forwarding - No Answer,VOICE
66,V_Basic Phone Installment,VOICE
67,P_Incoming Call Transfer,OTHER
68,P_Call Transfer Three way,OTHER
69,P_Call holding,OTHER
70,P_Call Forwarding Offline,OTHER
71,P_Outgoing Call Memory,OTHER
72,P_Call back on busy,OTHER
73,V_Double VAS Bundle,VOICE
74,AB_Citylink Loyalty Rewards,OTHER
75,V_E-channeling Registration,VOICE
76,AB_Copper Access Bearer,OTHER
77,P_One-Time Detailed Bill,OTHER
78,AB_Referral offer Discount,OTHER
79,V_Voice Startup Fee,VOICE
80,V_Referral offer Discount,VOICE
81,V_Miscellaneous Service,VOICE
82,E_PeoTV_Package Transfer,VOICE
83,P_Removal of Int & Parallel Ext,OTHER
84,AB_Parallel line Installation,OTHER
85,OTT_SLT PeoTV Go,OTHER
86,V_Telehealth,VOICE
87,V_One-Time Detailed Bill,VOICE
88,AB_Additional Distance,OTHER
89,V_Railway Registration,VOICE
90,P_CLI presentation in call waiting,OTHER
91,P_Call Forwarding by time,OTHER
92,V_Basic Phone,VOICE
93,P_Incoming Call Memory,OTHER
94,P_Anonymous call barring,OTHER
95,P_Call park,OTHER
96,PEO_UTHAYAM,PEO TV
97,PEO_SILVER,PEO TV
98,PRANAMA,PEO TV
99,DOUBLEPROMO,PEO TV
100,PEO_ENTERTAINMENT,PEO TV
101,PEO_SILVER_PLUS,PEO TV
102,PEO_UNNATHAM,PEO TV
103,PEO_SILVER_FTTH,PEO TV
104,NEW_SLT_STAFF_PACKAGE,PEO TV
105,BOC,PEO TV
106,PEO_TITANIUM,PEO TV
107,PEO_GOLD,PEO TV
108,SLT_STAFF_TRIPLE_PLAY,PEO TV
109,NEW_YEAR_TREAT,PEO TV
110,SLT_STAFF_PEO_UNNATHAM_FTTH,PEO TV
111,SLTStaff_PEO_SILVER,PEO TV
112,PEO_RELIGIOUS_PACKAGE,PEO TV
113,PEO_PLATINUM,PEO TV
114,LOTUS,PEO TV
115,LEISURE_SPORTS,PEO TV
116,PEO_FAMILY,PEO TV
117,PEO_SILVER_PLUS_FTTH,PEO TV
