Package,Package_Type,0
SLT Voice Service,Voice,18880
AB Copper Access Bearer,Other,17648
BB SLT BroadBand Service,BB,5400
BB PeoTVGO,PeoTV,4800
BB Personal Storage,BB,4544
SLT PeoTV Service,PeoTV,2401
Meet Lite,Other,1374
AB WireLess Access,Other,1076
BB Report Subscription Charge,BB,494
PEO TV GO OTT A la carte channels,PeoTV,475
AB Fiber Access Bearer,Other,327
Basic1 TeleLife,Other,266
Basic1 TeleLife,Voice,233
Plus1 TeleLife,Voice,202
Call Forwarding,Voice,174
Call Transfer Three way,Voice,171
Meet Max,Other,164
Plus1 TeleLife,Other,149
Absentee service,Voice,149
Call Forwarding No Answer,Voice,148
Abbreviated Dialing,Voice,148
Call Waiting,Voice,148
Call Forwarding On Busy,Voice,147
Call Forwarding Immediate,Voice,146
Telehealth,Voice,132
Video on Demand,PeoTV,108
TSTV,PeoTV,106
DQ Contact Details,Voice,98
IDD,Voice,91
BB Detailed Reports ,BB,84
E channeling Registration,Voice,82
Sisu Connect,Voice,81
Call Forwarding Offline,Voice,81
Outgoing Call Memory,Voice,78
Incoming Call Memory,Voice,78
Call holding,Voice,76
Call Forwarding by time,Voice,75
AB Megaline,Other,73
Package Rental Through ADSL,Other,73
Hotline Service,Voice,67
Incoming Call Transfer,Voice,66
Sisu Connect,Other,63
PeoTV Initiation,PeoTV,61
SLT CLI,Voice,60
BB YouTube Bundle,BB,58
Call park,Voice,51
CLI presentation in call waiting,Voice,51
Call back on busy,Voice,51
Anonymous call barring,Voice,50
Hotline Time Delayed,Voice,44
Single VAS Bundle,Voice,43
AB Megaline Startup,Other,35
E channeling Subscription,Voice,30
Hotline Immediate,Voice,29
BB Messenger Bundle,BB,28
AB Service Vacation,Other,25
PeoTVGo Channel Package,PeoTV,23
BB Entertainment Unlimited,BB,23
Installment,Voice,17
Basic Phone Installment,Voice,16
AB Relocation,Other,16
Caller Line Identification,Voice,15
Double VAS Bundle,Voice,11
AB Referral offer Discount,Other,10
Cordeless Phone  Installment,Voice,10
Edu Lite,Other,9
BB SLT Film Hall Service,BB,9
Referral offer Discount,PeoTV,8
BB PeoTVGO Revenue code,PeoTV,7
Plus4 TeleLife,Voice,7
PeoTPackage Transfer,Voice,6
Short Message Service,Voice,6
SLT CLI,Other,5
OTT SLT PeoTV Go,PeoTV,5
IDD,Other,5
Plus4 TeleLife,Other,5
AB Citylink Loyalty Rewards,Other,5
M Activation Charge,Other,5
DQ Contact Details,Other,5
Megaline,Other,5
Password call barring (secret code),Voice,4
Caller name sending,Voice,4
Selective call acceptance,Voice,4
Basic2 TeleLife,Voice,4
Complete call on no response,Voice,4
Caller name identificationPresentation,Voice,4
Call forwarding selective,Voice,4
Secretary service,Voice,4
Selective call rejection,Voice,4
Selective call waiting,Voice,4
Do not disturb service,Voice,4
Call Forwarding  Immediate,Voice,4
AB Rental Free,Other,3
Triple VAS Bundle,Voice,3
Basic2 TeleLife,Other,3
Call Forwarding  On Busy,Voice,3
Call Barring  Outgoing,Voice,3
Call Forwarding  No Answer,Voice,3
Railway Registration,Voice,2
Referral offer Discount,Voice,2
AB Additional Distance,Other,2
One Time Detailed Bill,Other,2
Basic4 TeleLife,Voice,2
Outgoing Call Memory,Other,1
Call Forwarding by time,Other,1
AB Parallel line Installation,Other,1
Additional features Double VAS Bundle,Other,1
Anonymous call barring,Other,1
Basic Phone,Voice,1
Basic4 TeleLife,Other,1
CLI presentation in call waiting,Other,1
Call Barring,Voice,1
Call Forwarding Offline,Other,1
Call Transfer Three way,Other,1
One Time Detailed Bill,Voice,1
Call back on busy,Other,1
Call holding,Other,1
Call park,Other,1
Detailed Bill,Voice,1
Incoming Call Memory,Other,1
Removal of Int & Parallel Ext,Other,1
Incoming Call Transfer,Other,1
Megaline New Connection,Other,1
Miscellaneous Service,Voice,1
Voice Startup Fee,Voice,1
